label,Genefamily,Value
Eublepharis macularius,OG0000058,increased
69,OG0000058,increased
Sphenodon punctatus,OG0000058,decreased
75,OG0000058,decreased
Sus scrofa,OG0000058,none
17,OG0000058,none
Balaenoptera musculus,OG0000058,none
26,OG0000058,none
Ceratotherium simum,OG0000058,decreased
37,OG0000058,none
Desmodus rotundus,OG0000058,decreased
46,OG0000058,none
Gorilla gorilla,OG0000058,none
24,OG0000058,none
Tupaia chinensis,OG0000058,decreased
36,OG0000058,none
64,OG0000058,none
Nannosplalax galili,OG0000058,increased
Elephas maximus,OG0000058,none
71,OG0000058,decreased
47,OG0000058,none
Choloepus didactylus,OG0000058,none
72,OG0000058,decreased
Sarcophilus harrisi,OG0000058,decreased
Ornithorhynchus anatinus,OG0000058,none
MRCA,OG0000058,none
Rana temporaria,OG0000058,increased
20,OG0000058,increased
Nanorana parkeri,OG0000058,decreased
32,OG0000058,increased
Bufo bufo,OG0000058,increased
44,OG0000058,none
Leptobrachium leishanense,OG0000058,increased
33,OG0000058,none
Spea bombifrons,OG0000058,decreased
52,OG0000058,increased
Xenopus Tropicalis,OG0000058,decreased
45,OG0000058,increased
62,OG0000058,increased
Xenopus Laevis,OG0000058,increased
70,OG0000058,increased
Bombina bombina,OG0000058,decreased
Pleurodeles waltl,OG0000058,increased
74,OG0000058,increased
Microcaecilia unicolor,OG0000058,increased
56,OG0000058,none
Geotrypetes seraphini,OG0000058,decreased
66,OG0000058,none
Rhinatrema bivittatum,OG0000058,none
Aquila chrysaetos,OG0000068,decreased
3,OG0000068,none
Taeniopygia guttata,OG0000068,increased
7,OG0000068,none
Nipponia nippon,OG0000068,none
11,OG0000068,none
Rissa tridactyla,OG0000068,none
19,OG0000068,none
Cuculus canorus,OG0000068,none
10,OG0000068,none
29,OG0000068,none
Apus apus,OG0000068,none
41,OG0000068,none
Columbalivia,OG0000068,increased
Numida meleagris,OG0000068,none
48,OG0000068,decreased
Dromaius novaehollandiae,OG0000068,increased
58,OG0000068,none
Alligator mississippiensis,OG0000068,decreased
68,OG0000068,decreased
Gopherus evgoodei,OG0000068,decreased
Varanus komodoensis,OG0000068,increased
43,OG0000068,none
73,OG0000068,none
Pogona vitticeps,OG0000068,none
51,OG0000068,none
Pseudonaja textilis,OG0000068,decreased
61,OG0000068,none
Eublepharis macularius,OG0000068,decreased
69,OG0000068,none
Sphenodon punctatus,OG0000068,decreased
75,OG0000068,decreased
Sus scrofa,OG0000068,none
17,OG0000068,none
Balaenoptera musculus,OG0000068,none
26,OG0000068,none
Ceratotherium simum,OG0000068,decreased
37,OG0000068,none
Desmodus rotundus,OG0000068,none
46,OG0000068,none
Gorilla gorilla,OG0000068,none
24,OG0000068,none
Tupaia chinensis,OG0000068,increased
36,OG0000068,none
64,OG0000068,decreased
Nannosplalax galili,OG0000068,increased
Elephas maximus,OG0000068,none
71,OG0000068,none
47,OG0000068,decreased
Choloepus didactylus,OG0000068,decreased
72,OG0000068,decreased
Sarcophilus harrisi,OG0000068,none
Ornithorhynchus anatinus,OG0000068,none
MRCA,OG0000068,none
Rana temporaria,OG0000068,increased
20,OG0000068,decreased
Nanorana parkeri,OG0000068,decreased
32,OG0000068,none
Bufo bufo,OG0000068,increased
44,OG0000068,none
Leptobrachium leishanense,OG0000068,decreased
33,OG0000068,decreased
Spea bombifrons,OG0000068,none
52,OG0000068,none
Xenopus Tropicalis,OG0000068,decreased
45,OG0000068,increased
62,OG0000068,increased
Xenopus Laevis,OG0000068,increased
70,OG0000068,increased
Bombina bombina,OG0000068,increased
Pleurodeles waltl,OG0000068,increased
74,OG0000068,increased
Microcaecilia unicolor,OG0000068,none
56,OG0000068,none
Geotrypetes seraphini,OG0000068,decreased
66,OG0000068,none
Rhinatrema bivittatum,OG0000068,increased
Aquila chrysaetos,OG0000073,increased
3,OG0000073,none
Taeniopygia guttata,OG0000073,increased
7,OG0000073,none
Nipponia nippon,OG0000073,none
11,OG0000073,none
Rissa tridactyla,OG0000073,none
19,OG0000073,none
Cuculus canorus,OG0000073,increased
10,OG0000073,none
29,OG0000073,none
Apus apus,OG0000073,none
41,OG0000073,none
Columbalivia,OG0000073,none
Numida meleagris,OG0000073,none
48,OG0000073,decreased
Dromaius novaehollandiae,OG0000073,decreased
58,OG0000073,none
Alligator mississippiensis,OG0000073,increased
68,OG0000073,decreased
Gopherus evgoodei,OG0000073,none
Varanus komodoensis,OG0000073,decreased
43,OG0000073,none
73,OG0000073,none
Pogona vitticeps,OG0000073,none
51,OG0000073,none
Pseudonaja textilis,OG0000073,decreased
61,OG0000073,none
